,youtube_features,youtube_featurs_No
85,too,35.92132357609481
86,should,35.85696804961495
87,amazing,35.78603465343161
88,fucking,35.281932906951525
89,man,35.099792768767145
90,because,35.040391784674036
91,great,34.938595164280684
92,omg,34.84377399009657
93,has,34.83056225068767
94,better,34.66045653316016
95,look,33.834278645822
96,then,33.778631232954105
97,best,33.43638161905569
98,guys,33.35024186953979
99,by,33.18291310188776
100,you are,33.11543906818509
101,time,32.91322626786126
102,some,32.895579093936895
103,only,32.75511863527023
104,if you,32.61081250683918
105,even,32.293351565321565
106,awesome,32.11095261648623
107,want,31.91967516048132
108,oh,31.787837250648476
109,say,31.552518502934596
110,nice,30.407032828290756
111,am,30.338280469088
112,right,30.31197552315811
113,girl,30.156357371241672
114,you re,29.804550715482105
115,than,29.791033519730973
116,to be,29.72601041688661
117,haha,29.660293531668934
118,funny,29.598241090576582
119,way,29.286972029580838
120,were,29.039087784044344
121,here,29.01725054470303
122,well,29.01099467285643
123,need,28.992730323479737
124,made,28.965556116793657
125,had,28.898615724497503
126,please,28.659713636277306
127,these,28.618159052181436
128,still,28.5646214918257
129,cute,28.56203234443585
130,ever,28.45060556136769
131,is the,28.28367754433057
132,ur,28.186326044366666
133,wow,28.134509964691265
134,on the,28.045481412723802
135,voice,27.75293122736877
136,thanks,27.74010649344622
137,guy,27.591389160714503
138,videos,27.558988709803018
139,music,27.520604409236924
140,their,27.5100845722308
141,going,27.425076022481075
142,first,27.283593194988917
143,very,27.100137476657046
144,new,27.050072887892288
145,off,26.982913127502936
146,thats,26.861536755557445
147,back,26.857390706362345
148,love this,26.69339058840767
149,bad,26.610507039079874
150,never,26.4462675540104
151,looks,26.417845384672674
152,life,26.14176445532804
153,god,26.033394065215163
154,watch,25.977681199327492
155,stop,25.63994173976252
156,could,25.465658932689458
157,where,25.408205665351566
158,been,25.36484169571124
159,pretty,25.325350881826008
160,does,25.26289684126292
161,beautiful,24.6501108154408
162,old,24.620398811672015
163,said,24.49864332422176
164,cool,24.492312869525588
165,thing,24.487673325501827
166,it was,24.38335592421656
167,other,24.248122334501506
168,little,24.03598486657547
169,same,23.986949393675605
170,name,23.85595961260817
171,day,23.773293813373435
172,keep,23.67993282025074
173,yeah,23.674147057831313
174,ass,23.62997613741114
175,game,23.496731001122242
176,to the,23.39539599143135
177,hate,23.376153111462
178,real,23.26321619686456
179,ve,23.2498522712274
180,thank,22.773066624180384
181,actually,22.64448864187826
182,this video,22.53333583527023
183,for the,22.512954080321485
184,de,22.405781472228675
185,you have,22.29708472354756
186,dude,22.2448237137296
187,mean,22.054623464219887
188,bitch,22.011345880405244
189,those,22.00967770965739
190,the best,21.86217276392622
191,something,21.70575063486162
192,damn,21.63364085852879
193,stupid,21.613787139466247
194,cant,21.606839439777026
195,over,21.488161099214473
196,hell,21.43711299022171
197,love you,21.403178904871393
198,is so,21.230819916205565
199,any,21.12502658346968
200,play,21.098151301518413
201,at the,20.79862731687366
202,do you,20.793200129088444
203,comment,20.72037858887229
204,being,20.524320064853523
205,you can,20.434039321094648
206,always,20.41999443934035
207,going to,20.405783217325705
208,down,20.39970713236006
209,hey,20.317070557056976
210,job,20.31429173869485
211,youtube,20.195439632031608
212,someone,20.18766247051259
213,sorry,20.126708468333355
214,it is,20.09278312832155
215,come,20.06379360249819
216,que,20.04339160035538
217,also,20.02828542606147
218,put,20.00069838335533
219,yes,19.93586024593173
220,face,19.920259117523138
221,thank you,19.89399518420572
222,so much,19.83842181221435
223,show,19.792738935017894
224,the same,19.72272870456032
225,feel,19.719156296705766
226,before,19.66009434159557
227,didn,19.524340440335163
228,every,19.513940911016267
229,most,19.49722764842194
230,gay,19.477850267488932
231,all the,19.46899549243862
232,have to,19.386937198791838
233,us,19.37808438039194
234,tell,19.32511251379726
235,use,19.325008806959115
236,black,19.307448350529747
237,one of,19.18185449936853
238,live,19.14683238103105
239,like this,19.12544756505762
240,la,19.125117080259525
241,take,19.07522535383853
242,work,18.914214465092932
243,let,18.913461143741614
244,thought,18.861263458239936
245,give,18.847728779290634
246,are you,18.806262289069387
247,want to,18.75364869413702
248,they are,18.70082358992028
249,makes,18.69348989380137
